Realm Name	Export Time	PMktPrice Date	Reserved	Item ID	Item Name	AH MarketPrice Coppers	AH Quantity	AH MarketPrice	AH MinimumPrice	14-day Median Market Price	Median Market Price StdDev	14-day Todays PMktPrice	PMktPrice StdDev	Daily Price Change	Avg Daily Posted	Avg Estimated Daily Sold	Estimated Demand
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	720	Brawler Gloves	27987953	3	2798.7953	2798.7953	2261.76	681.8	3243.09	407.88	0.0577	3.93	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	723	Goretusk Liver	19048	31	1.9048	1.9047	2.22	0.76	2.5	0.75	0.0231	53.64	4.86	0.0906
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	727	Notched Shortsword	649999	1	64.9999	64.9999	30	60.48	22.56	55.78	-0.0783	3.36	0.14	0.0417
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	733	Westfall Stew	40382	20	4.0382	4.0382	4.02	2.53	3.26	2.4	0.0105	124.29	7.14	0.0574
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	754	Shortsword of Vengeance	750006691	2	75000.6691	75000.6691	73125.66	27711.89	88226.87	21888.71	0.0533	2.79	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	756	Tunnel Pick	1032132968	1	103213.2968	103213.2968	103213.3	0	103213.3	0	0	0.71	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	765	Silverleaf	12000	124	1.2	1.17	0.98	0.42	0.46	0.35	-0.0674	264.71	113.57	0.429
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	769	Chunk of Boar Meat	5000	4	0.5	0.5	0.33	0.56	0.15	0.5	-0.1006	20.71	12.14	0.5862
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	774	Malachite	4966	1	0.4966	0.4966	0.41	0.21	0.24	0.15	-0.0693	51.86	9.29	0.1791
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	776	Vendetta	0	0	0	0	49002.42	3741.06	49232.1	2965.36	-0.0044	0.57	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	783	Light Hide	4125	29	0.4125	0.27	0.57	0.88	0.16	0.46	-0.1563	52.71	6.43	0.122
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	785	Mageroyal	19800	93	1.98	0.02	0.66	0.17	0.5	0.15	-0.0249	188.43	62.86	0.3336
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	789	Stout Battlehammer	0	0	0	0	177.93	99.13	223.63	101.02	0.0254	3.43	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	790	Forester's Axe	20000	2	2	2	66.4	45.54	1.5	8.18	-0.1493	0.43	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	791	Gnarled Ash Staff	0	0	0	0	2221.82	1528.04	1498.5	1174.11	-0.0672	1.29	0.21	0.1628
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	797	Rough Leather Gloves	4266459	1	426.6459	426.6459	421.56	15.24	436.61	8.56	0.0063	0.86	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	798	Rough Leather Pants	11247276	1	1124.7276	1124.7276	1073.23	100.88	1209.86	50.49	0.0189	0.93	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	799	Rough Leather Vest	11322279	1	1132.2279	1132.2279	1117.35	69.89	1173.35	40.6	0.0101	0.93	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	804	Large Blue Sack	0	0	0	0	6.01	0	6.01	0	0	0.36	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	805	Small Red Pouch	0	0	0	0	2	1.19	2.61	1.23	0.0072	0.71	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	809	Bloodrazor	49990000	2	4999	4999	4999	1749.09	4417.03	1422.29	-0.0316	4.21	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	810	Hammer of the Northern Wind	46922925	1	4692.2926	4692.2926	4315.41	126.02	4260.1	95.07	-0.0034	4.5	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	811	Axe of the Deep Woods	58737842	2	5873.7842	5873.7842	4715	418.33	5222.49	297.21	0.0065	2.57	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	812	Glowing Brightwood Staff	40940000	5	4094	4094	4141.6	3314.75	3070.5	3030.76	-0.0576	5.5	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	814	Flask of Oil	16817	6	1.6817	1.6817	0.17	0.42	0.62	0.37	0.1463	14.36	1.36	0.0947
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	818	Tigerseye	15599	33	1.5599	1.5599	1.94	1.25	0.37	0.75	-0.1195	46	7.79	0.1693
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	828	Small Blue Pouch	6500	2	0.65	0.65	0.65	1.56	0.04	0.85	-0.1717	2.07	0.07	0.0338
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	832	Silver Defias Belt	0	0	0	0	211190.23	14987.93	222673.19	7023.56	0.0128	0.86	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	833	Lifestone	20120000	1	2012	2012	2005	212.12	2170.12	110.99	0.0186	1.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	847	Chainmail Armor	21228456	1	2122.8457	2122.8457	1660.44	266.97	2122.85	179.09	0.1204	0.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	848	Chainmail Pants	11288561	1	1128.8561	1128.8561	905.69	128.85	1128.86	86.43	0.1014	0.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	849	Chainmail Boots	7881406	1	788.1406	788.1406	622.39	95.7	788.14	64.2	0.113	0.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	850	Chainmail Gloves	5671475	1	567.1475	567.1475	424.01	82.64	567.15	55.44	0.1611	0.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	857	Large Red Sack	49600	3	4.96	4.96	22.5	24.63	1.69	20.16	-0.1335	0.79	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	858	Lesser Healing Potion	50	6	0.005	0.005	1.4	1.24	1.17	1.27	-0.0325	15	0.29	0.0193
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	862	Runed Ring	9840000	1	984	984	1649	659.88	854.84	549.59	-0.0542	2.14	0.14	0.0654
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	863	Gloom Reaper	2084290	2	208.429	208.429	227.45	70	270.1	59.78	0.0376	2.5	0.14	0.056
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	864	Knightly Longsword	4017369	2	401.7369	401.7369	149.34	71.97	177.53	73.39	0.0219	4.36	0.07	0.0161
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	865	Leaden Mace	0	0	0	0	333.75	83.97	393.85	29.58	0.0425	0.79	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	866	Monk's Staff	0	0	0	0	124.94	57.3	188.93	29.73	0.0979	4.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	867	Gloves of Holy Might	79700000	1	7970	7970	7370.98	1905.78	8318.47	1718.82	0.0275	4.36	0.07	0.0161
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	868	Ardent Custodian	53978902	1	5397.8902	5397.8902	5385.61	56.37	5455.03	46.64	0.0014	3.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	869	Dazzling Longsword	299999999	2	29999.9999	29999.9999	35353.83	2759.03	34315.35	2787.99	-0.0044	3.86	0.07	0.0181
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	870	Fiery War Axe	281430958	1	28143.0958	28143.0958	26592.07	868.15	27683.6	710.25	0.0041	1.43	0.07	0.049
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	871	Flurry Axe	40250748	4	4025.0748	4025.0748	4025.07	1521.01	4021.19	1064.21	0.0406	4.93	0.07	0.0142
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	873	Staff of Jordan	58890000	1	5889	5889	5898	5.27	5887.52	0.51	-0.0002	4.86	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	890	Twisted Chanter's Staff	0	0	0	0	3687.31	117.78	3582.44	62.47	-0.0064	1.57	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	892	Gnoll Casting Gloves	0	0	0	0	148096.25	4152.4	154076.53	977.7	0.0063	1.14	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	914	Large Ogre Chain Armor	0	0	0	0	64120.18	7610.77	70148.45	2196.67	0.0234	0.86	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	923	Longsword	20000	1	2	2	2	0	2.67	0	0.4286	0.07	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	929	Healing Potion	4950	11	0.495	0.495	0.5	0.16	0.53	0.17	0.0044	22.93	2.43	0.106
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	934	Stalvan's Reaper	0	0	0	0	4090	1106.47	4459.39	1061.24	0.0212	2.64	0.21	0.0795
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	935	Night Watch Shortsword	40180000	2	4018	4018	4362	337.79	4188.37	339.86	-0.0045	2.64	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	937	Black Duskwood Staff	0	0	0	0	6000	0	6000	0	0	0.79	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	940	Robes of Insight	258293731	2	25829.3731	25829.3731	26416.5	15334.92	33621.93	13678.33	-0.0018	2.43	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	942	Freezing Band	0	0	0	0	4624.13	287.29	4241.5	212.63	-0.0114	0.93	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	943	Warden Staff	0	0	0	0	1999	2687.41	4892.95	2302.6	0.0732	2.29	0.07	0.0306
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	944	Elemental Mage Staff	130000000	1	13000	13000	13499	1232.57	12272.47	1033.29	-0.0129	3.07	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	954	Scroll of Strength	0	0	0	0	199.09	0	199.09	0	0	0.21	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	955	Scroll of Intellect	0	0	0	0	73.47	51.07	122.37	25.21	0.1646	4.64	0.14	0.0302
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1015	Lean Wolf Flank	194	9	0.0194	0.0194	0.95	3.77	4.83	3.2	0.1001	55.14	12.64	0.2292
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1017	Seasoned Wolf Kabob	200	7	0.02	0.02	0.03	2.41	1.64	2.38	0.0965	5.71	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1076	Defias Renegade Ring	429820000	1	42982	42982	43903	4584.27	47203.33	2380.4	0.0179	1.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1077	Defias Mage Ring	0	0	0	0	34553.35	1030.21	34972.58	799.33	0.0033	0.93	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1080	Tough Condor Meat	53295	4	5.3295	5.3295	1.86	0.97	2.71	0.91	0.0391	18.71	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1168	Skullflame Shield	1199999999	1	119999.9999	119999.9999	120000	0	120000	0	0	0.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1169	Blackskull Shield	38190000	1	3819	3819	3654	276.46	3938.04	238.3	0.0057	1.64	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1179	Ice Cold Milk	59852	1	5.9852	5.9852	5.4	0.28	5.84	0.18	0.0076	53.5	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1180	Scroll of Stamina	525514	1	52.5514	52.5514	28.02	30.05	56.3	2.77	0.1349	0.21	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1181	Scroll of Versatility	0	0	0	0	115.44	5.8	120.09	0.98	0.0124	0.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1202	Wall Shield	71765259	1	7176.5259	7176.5259	7416.66	138.64	7176.53	93	-0.0094	0.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1203	Aegis of Stormwind	5121597	1	512.1597	512.1597	299.02	93.25	170.31	70.01	-0.0467	3.36	0.14	0.0417
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1204	The Green Tower	65580000	1	6558	6558	6415	351.91	6709.08	249.03	0.0086	1.64	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1205	Melon Juice	0	0	0	0	0.33	0.39	0.07	0.34	-0.1172	27.43	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1206	Moss Agate	59398	7	5.9398	5.9398	6	7.14	9.82	6.95	0.0244	29.57	8.57	0.2898
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1207	Murphstar	100000	1	10	10	58.43	48.28	90.8	47.05	0.0372	3.93	0.07	0.0178
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1210	Shadowgem	16795	100	1.6795	1	1.75	0.56	1.7	0.58	-0.0006	109.79	12.43	0.1132
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1211	Gnoll War Harness	0	0	0	0	46196.36	3578.13	61595.15	1600.19	0.0296	0.36	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1215	Support Girdle	443963909	1	44396.3909	44396.3909	44396.39	0	44396.39	0	0	0.71	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1251	Linen Bandage	0	0	0	0	1.08	0.72	0.05	0.41	-0.7819	19.21	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1263	Brain Hacker	76858895	2	7685.8895	7685.8895	7684.56	2015.1	6413.83	1994.04	-0.0176	3.64	0.21	0.0577
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1265	Scorpion Sting	50000000	2	5000	5000	2808.06	643.59	3517.01	569.99	0.0196	1.71	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1288	Large Venom Sac	346	8	0.0346	0.0346	0.1	0.03	0.07	0.03	-0.0274	18.71	0.57	0.0305
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1297	Robes of the Shadowcaster	0	0	0	0	37490	5083.34	33283.2	3637.16	-0.019	0.79	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1299	Lesser Belt of the Spire	0	0	0	0	20894.69	0	20894.69	0	0	0.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1314	Ghoul Fingers	0	0	0	0	95558.73	5451.34	92299.98	4832.96	-0.0063	1.21	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1315	Lei of Lilies	17569999	2	1756.9999	1756.9999	2389.24	876.64	1918.26	825.76	-0.0077	2.5	0.07	0.028
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1318	Night Reaver	100000000	1	10000	10000	16765.48	9372.01	3209.9	4079	-0.1117	1.64	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1351	Fingerbone Bracers	0	0	0	0	85167.23	0	85167.23	0	0	0.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1357	Captain Sanders' Treasure Map	42120000	1	4212	4212	3507	410.47	4135.25	144.86	0.0261	1.5	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1367	Ragged Leather Boots	0	0	0	0	30523.1	0	30523.1	0	0	0.14	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1370	Ragged Leather Bracers	0	0	0	0	35908.2	0	35908.2	0	0	0.14	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1391	Riverpaw Mystic Staff	60219966	2	6021.9967	6021.9967	6067	216.02	5918	182.92	-0.0044	4.57	0.14	0.0306
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1395	Apprentice's Pants	35926312	1	3592.6312	3592.6312	3592.63	0	3592.63	0	0	0.71	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1405	Foamspittle Staff	0	0	0	0	8040	2765.17	9600.51	2638.16	0.008	1.43	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1443	Jeweled Amulet of Cainwyn	44865712	1	4486.5713	4486.5713	3766.66	1644.09	5003.13	711.36	0.088	1.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1446	Blackrock Boots	1592300000	1	159230	159230	158288	9422.57	164055.68	6436.19	0.0086	1.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1447	Ring of Saviors	32451590	1	3245.1591	3245.1591	3245.16	0	3245.16	0	0	1.14	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1448	Blackrock Gauntlets	0	0	0	0	43696.48	0	43696.48	0	0	0.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1462	Ring of the Shadow	173280000	1	17328	17328	16379	1183.81	17365.63	633.99	0.0127	1.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1465	Tigerbane	913256	2	91.3256	91.3256	59.51	56.45	135.36	43.59	0.0829	1.93	0.07	0.0363
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1468	Murloc Fin	127	108	0.0127	0.0047	0.02	0.05	0.01	0.04	-0.1049	107.93	18.64	0.1727
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1469	Scimitar of Atun	0	0	0	0	1666666	0	1666666	0	0	0.21	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1470	Murloc Skin Bag	90000	1	9	9	20.85	59.35	53.49	60.54	0.1008	0.79	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1475	Small Venom Sac	0	0	0	0	0.99	0.67	0.02	0.4	-0.1808	3.93	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1477	Scroll of Agility II	0	0	0	0	5.46	3.77	7.28	1.29	0.3609	9.71	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1481	Grimclaw	301353078	1	30135.3078	30135.3078	30917.86	613.88	29866.78	137.41	-0.0046	3.5	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1483	Face Smasher	42497394	2	4249.7395	4249.7395	4972.4	1364.08	3291	1129.11	-0.0393	6.21	0.07	0.0113
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1484	Witching Stave	89334437	1	8933.4438	8933.4438	8933.44	2104.86	7617.91	815.21	-0.0361	1.93	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1486	Tree Bark Jacket	147613721	1	14761.3721	14761.3721	8103.76	2751.54	12988.83	1387.35	0.0505	2.07	0.07	0.0338
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1488	Avenger's Armor	450000000	1	45000	45000	50000	44891.69	33750	26463.31	-0.1005	1.57	0.07	0.0446
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1491	Ring of Precision	374088038	1	37408.8038	37408.8038	46319.24	10333.6	29662.27	2394.69	-0.052	1.43	0.07	0.049
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1522	Headhunting Spear	110970643	1	11097.0643	11097.0643	15608.26	5853.16	9021.54	1633.56	-0.069	1.36	0.07	0.0515
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1523	Huge Stone Club	99999814	2	9999.9814	9999.9814	28271.5	6472.89	18966.66	4050.57	-0.0448	2	0.07	0.035
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1529	Jade	35499	34	3.5499	1.8699	3.83	2.71	2.22	2.4	-0.0695	52.29	8.36	0.1599
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1560	Bluegill Sandals	0	0	0	0	61702.52	948.48	63272.33	529.42	0.0027	1.57	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1607	Soulkeeper	40191047	2	4019.1047	4019.1047	3376.03	951.79	3046.59	968.06	-0.0064	2.93	0.14	0.0478
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1608	Skullcrusher Mace	980714	3	98.0714	98.0714	31	46.33	116.61	20.22	0.1647	6.29	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1613	Spiritchaser Staff	0	0	0	0	176	105.74	131.08	96.38	0.0053	1.36	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1625	Exquisite Flamberge	0	0	0	0	17.7	57.78	48.72	56.2	0.045	1.71	0.21	0.1228
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1639	Grinning Axe	1153144	4	115.3144	115.3144	179.85	90.92	130.25	90.97	-0.0339	3	0.07	0.0233
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1640	Monstrous War Axe	200000	1	20	20	20	159.71	185.36	122.59	0.1704	1.5	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1645	Moonberry Juice	0	0	0	0	1	5.87	0.01	4.32	-0.1863	21.64	0.5	0.0231
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1659	Engineering Gloves	842120000	1	84212	84212	72785.99	18684.1	103405.08	10861.76	0.0326	2.14	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1677	Drake-Scale Vest	0	0	0	0	13472.52	5573.53	14290.48	5689.82	0.0154	5.21	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1678	Black Ogre Kickers	24999999	2	2499.9999	2499.9999	2371.82	37.23	2419.25	31.6	0.0021	1.57	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1680	Headchopper	0	0	0	0	44331.76	10730.56	58226.16	7228.33	0.0437	2.64	0	0
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1685	Troll-Hide Bag	0	0	0	0	18	9.13	0.75	5.86	-0.16	1.57	0.29	0.1847
EU - Aszune / Alliance	03/05/2018 08:27:03	03/05/2018	N/A	1705	Lesser Moonstone	6900	29	0.69	0.11	0.44	0.25	0.54	0.24	0.0432	66.43	7.43	0.1118
